Sr. No.,NPCI Operated Systems,F.Y-2014-15,,F.Y-2015-16,,Apr'16,,May'16,,June'16,,July'16,,August'16,,September'16,,October'16,,November'16,,December'16,,January'17,,February'17,,March'17,,F.Y-2016-17,,Apr'17,,May'17,,Jun'17,,Jul'17,,Aug'17,,Sep'17,,Oct'17,,Nov'17,,Dec'17,,Jan'18,,Feb'18,,Mar'18,,F.Y-2017-18 (Apr'17 to Mar'18),,Apr'18,,May'18,,June'18,,July'18,,Aug'18,,Sep'18,,Oct'18,,Nov'18,,Dec'18,,Jan'19,,Feb'19,,Mar'19,,F.Y-2018-19,,Apr'19,,May'19,,Jun'19,,Jul'19,,Aug'19,,Sep'19,,Oct'19,,Nov'19,,Dec'19,,Jan'20,,Feb'20,,Mar'20,,F.Y-2019-20,,Apr'20,,May'20,,Jun'20,,Jul'20,,Aug'20,,Sep'20,,Oct'20,,Nov'20,,Dec'20,,Jan'21,,Feb'21,,Mar'21,,F.Y-2020-21,,Apr'21,,May'21,,Jun'21,,Jul'21,,Aug'21,,Sep'21,,Oct'21,,Nov'21,,Dec'21,,F.Y-2021-22,
,Financial Txns:,Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn)
,Total Financial Txn (A)," 3,709.46 "," 76,111.29 "," 5,406.41 "," 85,271.12 ", 542.34 ," 7,974.24 ", 535.07 ," 7,494.91 ", 540.49 ," 7,442.24 ", 574.68 ," 7,532.48 ", 545.44 ," 7,728.81 ", 547.08 ," 7,536.41 ", 598.52 ," 8,158.28 ", 536.16 ," 6,960.11 ", 722.81 ," 8,443.60 ", 673.00 ," 8,593.46 ", 618.19 ," 8,140.80 ", 704.66 ," 10,620.71 "," 7,138.40 "," 96,626.07 ", 701.62 ," 9,610.21 ", 698.28 ," 9,188.06 ", 693.15 ," 8,894.97 ", 714.33 ," 8,836.98 ", 738.69 ," 8,772.94 ", 743.36 ," 8,825.12 ", 827.68 ," 9,302.02 ", 867.13 ," 9,555.49 ", 935.93 ," 9,560.52 ", 958.85 ," 9,827.69 ", 955.82 ," 9,629.56 "," 1,037.77 "," 11,549.74 "," 9,857.60 "," 1,13,552.77 "," 1,089.28 "," 10,993.85 "," 1,091.08 "," 10,793.12 "," 1,160.80 "," 11,055.15 "," 1,191.08 "," 10,833.54 "," 1,268.48 "," 10,836.84 "," 1,334.91 "," 10,449.46 "," 1,499.42 "," 11,888.67 "," 1,510.72 "," 11,113.91 "," 1,647.83 "," 11,684.64 "," 1,673.42 "," 11,889.32 "," 1,667.77 "," 11,450.65 "," 1,936.05 "," 13,730.32 "," 16,806.26 "," 1,36,719.25 "," 1,907.05 "," 13,303.82 "," 1,812.98 "," 13,662.55 "," 1,793.89 "," 12,239.00 "," 1,911.46 "," 12,943.08 "," 2,053.02 "," 12,723.51 "," 2,052.22 "," 12,160.64 "," 2,413.37 "," 14,249.82 "," 2,356.28 "," 13,216.31 "," 2,526.81 "," 13,633.10 "," 2,668.35 "," 14,123.21 "," 2,594.14 "," 15,487.68 "," 2,403.68 "," 13,181.34 "," 26,493.26 "," 1,60,924.07 "," 2,037.00 "," 6,710.87 "," 2,203.97 "," 9,644.19 "," 2,486.76 "," 11,938.89 "," 2,611.00 "," 12,422.46 "," 2,872.38 "," 12,596.99 "," 3,047.85 "," 13,546.17 "," 3,393.35 "," 15,205.02 "," 3,550.62 "," 15,047.32 "," 3,697.93 "," 16,909.48 "," 3,727.62 "," 16,211.90 "," 3,584.41 "," 15,401.02 "," 4,300.55 "," 19,903.84 "," 37,513.45 "," 1,65,538.15 "," 3,971.51 "," 16,931.03 "," 3,815.38 "," 14,095.25 "," 4,156.73 "," 15,197.91 "," 4,690.16 "," 18,028.69 "," 5,165.59 "," 18,578.52 "," 5,156.11 "," 18,921.90 "," 5,923.85 "," 21,274.64 "," 5,796.63 "," 20,366.19 "," 6,275.19 "," 22,592.05 "," 44,951.14 "," 1,65,986.17 "
,Non Financial:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NPCI Operated Systems,F.Y-2014-15,,F.Y-2015-16,,Apr'16,,May'16,,June'16,,July'16,,August'16,,September'16,,October'16,,November'16,,December'16,,January'17,,February'17,,March'17,,F.Y-2016-17 (Apr'16 to Feb'17),,Apr'17,,May'17,,Jun'17,,Jul'17,,Aug'17,,Sep'17,,Oct'17,,Nov'17,,Dec'17,,Jan'18,,Feb'18,,Mar'18,,F.Y-2016-17 (Apr'17 to Mar'18),,Apr'18,,May'18,,June'18,,July'18,,Aug'18,,Sep'18,,Oct'18,,Nov'18,,Dec'18,,Jan'19,,Feb'19,,Mar'19,,F.Y-2018-19,,Apr'19,,May'19,,Jun'19,,Jul'19,,Aug'19,,Sep'19,,Oct'19,,Nov'19,,Dec'19,,Jan'20,,Feb'20,,Mar'20,,F.Y-2019-20,,Apr'20,,May'20,,Jun'20,,Jul'20,,Aug'20,,Sep'20,,Oct'20,,Nov'20,,Dec'20,,Jan'21,,Feb'21,,Mar'21,,F.Y-2020-21,,Apr'21,,May'21,,Jun'21,,Jul'21,,Aug'21,,Sep'21,,Oct'21,,Nov'21,,Dec'21,,F.Y-2021-22,
,,Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn)
12,"NFS Txn over ATM (e.g. Balance inquiery, Pin change, Mini Statement, etc.)", 693.97 , -   , 863.00 , -   , 81.95 , -   , 78.52 , -   , 77.87 , -   , 81.98 , -   , 83.24 , -   , 82.76 , -   , 92.25 ,, 66.49 ,, 95.19 ,, 125.48 ,, 117.55 ,, 118.73 ,," 1,102.02 ", -   , 111.29 ,, 106.28 ,, 101.73 ,, 104.49 ,, 105.37 ,, 105.46 ,, 107.96 ,, 101.96 ,, 108.83 ,, 107.18 ,, 102.75 ,, 110.06 ,," 1,273.35 ", -   , 109.62 ,, 102.79 ,, 101.82 ,, 103.72 ,, 105.85 ,, 105.08 ,, 111.53 ,, 104.60 ,, 105.82 ,, 98.12 ,, 93.87 ,, 103.78 ,," 1,246.60 ", -   , 96.66 ,, 93.78 ,, 93.11 ,, 95.75 ,, 97.65 ,, 93.13 ,, 102.50 ,, 89.21 ,, 90.27 ,, 94.86 ,, 89.54 ,, 80.53 ,," 1,117.00 ", -   , 76.80 ,, 80.11 ,, 78.84 ,, 74.18 ,, 78.30 ,, 73.88 ,, 79.43 ,, 77.99 ,, 82.54 ,, 81.55 ,, 71.40 ,, 77.10 ,, 932.12 , -   , 69.17 ,, 57.47 ,, 61.66 ,, 66.44 ,, 70.70 ,, 66.07 ,, 71.21 ,, 66.36 ,, 70.43 ,, 599.50 , -   
13,AEPS (Inter Bank) Txn over Micro ATM (e.g. Balance inquiry/ Mini statement etc.), - , -   , 0.33 , -   , 0.07 , -   , 0.14 , -   , 0.21 , -   , 0.30 , -   , 0.35 , -   , 0.44 , -   , 0.57 ,, 0.43 ,, 1.10 ,, 1.60 ,, 1.94 ,, 2.39 ,, 9.55 , -   , 3.29 ,, 4.51 ,, 5.25 ,, 6.00 ,, 6.86 ,, 8.06 ,, 8.94 ,, 8.79 ,, 8.51 ,, 10.34 ,, 11.85 ,, 12.71 ,, 95.10 , -   , 15.22 ,, 15.98 ,, 17.93 ,, 21.02 ,, 21.83 ,, 21.90 ,, 25.28 ,, 22.39 ,, 22.95 ,, 24.89 ,, 26.61 ,, 33.57 ,, 269.56 , -   , 34.42 ,, 31.82 ,, 34.89 ,, 40.88 ,, 43.19 ,, 33.07 ,, 31.20 ,, 25.69 ,, 23.92 ,, 31.77 ,, 30.20 ,, 26.42 ,, 387.47 , -   , 101.57 ,, 118.89 ,, 114.17 ,, 86.41 ,, 85.36 ,, 72.18 ,, 66.38 ,, 59.60 ,, 68.42 ,, 78.01 ,, 70.48 ,, 77.61 ,, 999.09 , -   , 68.96 ,, 84.03 ,, 91.21 ,, 91.75 ,, 109.20 ,, 87.47 ,, 99.93 ,, 103.38 ,, 113.67 ,, 849.61 , -   
14,AEPS (Intra Bank) UIDAI Authentication over Micro ATM, - , -   , 94.30 , -   , 12.18 , -   , 16.81 , -   , 19.73 , -   , 22.27 , -   , 22.10 , -   , 22.59 , -   , 24.31 ,, 25.77 ,, 34.26 ,, 38.89 ,, 35.75 ,, 44.21 ,, 318.88 , -   , 47.10 ,, 56.69 ,, 63.64 ,, 64.08 ,, 66.93 ,, 65.96 ,, 63.51 ,, 65.48 ,, 68.46 ,, 71.17 ,, 74.62 ,, 73.54 ,, 781.17 , -   , 83.92 ,, 85.21 ,, 89.00 ,, 92.32 ,, 98.15 ,, 95.21 ,, 102.42 ,, 92.38 ,, 96.94 ,, 106.41 ,, 106.83 ,, 121.31 ,," 1,170.08 ", -   , 121.30 ,, 118.43 ,, 116.61 ,, 128.53 ,, 124.84 ,, 123.07 ,, 137.18 ,, 124.78 ,, 122.60 ,, 141.49 ,, 135.62 ,, 110.97 ,," 1,505.43 ", -   , 212.08 ,, 184.77 ,, 182.59 ,, 165.70 ,, 161.31 ,, 152.63 ,, 150.02 ,, 136.96 ,, 152.76 ,, 158.32 ,, 143.04 ,, 158.51 ,," 1,958.70 ", -   , 133.97 ,, 124.63 ,, 154.73 ,, 164.17 ,, 183.02 ,, 165.81 ,, 162.56 ,, 161.06 ,, 167.81 ,," 1,417.75 ", -   
15,eKYC Verification (Successful Txn), - , -   , 12.63 , -   , 0.74 , -   , 1.13 , -   , 1.54 , -   , 3.04 , -   , 3.13 , -   , 3.50 , -   , 3.11 ,, 3.79 ,, 8.43 ,, 7.26 ,, 5.31 ,, 6.58 ,, 47.55 , -   , 6.07 ,, 9.12 ,, 12.61 ,, 18.70 ,, 13.23 ,, 14.34 ,, 11.50 ,, 12.94 ,, 13.35 ,, 12.33 ,, 14.10 ,, 17.66 ,, 155.95 , -   , 13.65 ,, 14.19 ,, 16.20 ,, 20.68 ,, 21.29 ,, 19.89 ,, 12.68 ,, 6.00 ,, 6.44 ,, 7.32 ,, 7.63 ,, 6.77 ,, 152.74 , -   , 4.89 ,, 5.25 ,, 6.78 ,, 9.71 ,, 8.80 ,, 8.01 ,, 6.94 ,, 8.26 ,, 7.84 ,, 8.17 ,, 8.55 ,, 6.36 ,, 89.56 , -   , 5.46 ,, 11.65 ,, 12.19 ,, 11.55 ,, 11.74 ,, 14.90 ,, 13.33 ,, 10.91 ,, 13.77 ,, 14.98 ,, 14.99 ,, 15.18 ,, 150.67 , -   , 10.65 ,, 8.28 ,, 14.70 ,, 19.13 ,, 22.11 ,, 23.42 ,, 22.63 ,, 21.28 ,, 25.49 ,, 167.68 , -   
16,Demographic Queries(Authenticated UID), - , -   , 12.98 , -   , 1.60 , -   , 1.51 , -   , 0.83 , -   , 0.73 , -   , 1.28 , -   , 1.85 , -   , 2.27 ,, 2.81 ,, 3.90 ,, 3.71 ,, 4.02 ,, 7.17 ,, 31.68 , -   , 5.88 ,, 8.46 ,, 6.14 ,, 6.71 ,, 40.90 ,, 229.79 ,, 107.67 ,, 96.27 ,, 45.95 ,, 31.90 ,, 26.02 ,, 33.33 ,, 639.02 , -   , 16.11 ,, 16.21 ,, 14.01 ,, 15.71 ,, 15.77 ,, 14.43 ,, 10.90 ,, 8.82 ,, 8.55 ,, 5.72 ,, 5.65 ,, 4.45 ,, 136.33 , -   , 3.30 ,, 2.40 ,, 2.46 ,, 3.70 ,, 2.62 ,, 2.42 ,, 3.09 ,, 3.39 ,, 2.85 ,, 2.95 ,, 2.68 ,, 2.62 ,, 34.47 , -   , 2.72 ,, 3.03 ,, 2.84 ,, 3.69 ,, 3.94 ,, 3.17 ,, 4.31 ,, 2.71 ,, 3.13 ,, 3.00 ,, 3.21 ,, 3.32 ,, 39.07 , -   , 2.44 ,, 2.33 ,, 3.98 ,, 17.24 ,, 14.38 ,, 7.85 ,, 4.31 ,, 4.27 ,, 5.33 ,, 62.12 , -   
17,AEPS Tokenization, -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , 20.88 ,, 191.97 ,, 247.17 ,, 283.44 ,, 126.68 ,, 189.64 ,, 51.13 ,, 38.54 ,, 49.58 ,, 34.09 ,, 10.34 ,, 9.69 ,," 1,253.15 ", -   , 8.74 ,, 14.96 ,, 15.46 ,, 14.06 ,, 11.45 ,, 45.76 ,, 13.82 ,, 28.61 ,, 15.73 ,, 54.41 ,, 15.16 ,, 7.93 ,, 246.09 , -   , 4.06 ,, 6.13 ,, 4.08 ,, 7.60 ,, 6.17 ,, 9.20 ,, 6.29 ,, 4.06 ,, 5.58 ,, 53.15 , -   
18,BBPS (Bill Fetch),,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.03 ,,,,,,,,,,,,,,,,,,,,,,,,,, 15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,, 264.00 , -   , 38.54 ,, 44.96 ,, 55.23 ,, 67.84 ,, 53.96 ,, 54.62 ,, 69.43 ,, 66.87 ,, 74.92 ,, 82.27 ,, 82.32 ,, 87.11 ,, 778.09 , -   , 109.68 ,, 116.49 ,, 119.98 ,, 124.35 ,, 118.93 ,, 116.42 ,, 118.60 ,, 121.59 ,, 132.73 ,, 150.25 ,, 150.41 ,, 165.39 ,," 1,544.82 ", -   , 194.92 ,, 213.59 ,, 235.73 ,, 242.91 ,, 247.91 ,, 274.20 ,, 285.33 ,, 272.79 ,, 289.31 ,," 2,256.69 ", -   
26,QSAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.95 ,, 1.08 ,, 0.81 ,, 1.39 ,, 1.72 ,, 1.62 ,, 0.09 ,, -   ,, 7.65 , -   , -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,,,,, -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   ,,,,,,,,,,,,,,,,,,, -   , -   
,Total Non Financial Txn (B), 693.97 , -   , 983.25 , -   , 96.53 , -   , 98.11 , -   , 100.19 , -   , 108.32 , -   , 110.10 , -   , 111.14 , -   , 122.51 , -   , 99.30 , -   , 142.89 , -   , 176.94 , -   , 164.57 , -   , 179.09 , -   ," 1,509.71 ", -   , 173.63 , -   , 185.04 , -   , 189.37 , -   , 199.98 , -   , 233.29 , -   , 423.60 , -   , 299.58 , -   , 285.44 , -   , 245.10 , -   , 232.91 , -   , 229.34 , -   , 247.30 , -   ," 2,959.59 ", -   , 238.53 , -   , 234.38 , -   , 238.96 , -   , 253.44 , -   , 262.89 , -   , 256.51 , -   , 262.81 , -   , 234.19 , -   , 240.70 , -   , 242.46 , -   , 240.59 , -   , 269.87 , -   ," 3,239.31 ", -   , 319.99 , -   , 488.61 , -   , 556.26 , -   , 629.85 , -   , 457.74 , -   , 503.95 , -   , 401.46 , -   , 356.75 , -   , 371.99 , -   , 395.60 , -   , 359.27 , -   , 323.69 , -   ," 5,165.17 ", -   , 517.04 , -   , 529.90 , -   , 526.09 , -   , 479.95 , -   , 471.03 , -   , 478.95 , -   , 445.87 , -   , 438.38 , -   , 469.09 , -   , 540.52 , -   , 468.70 , -   , 505.03 , -   ," 5,870.55 ", -   , 484.16 , -   , 496.46 , -   , 566.08 , -   , 609.23 , -   , 653.49 , -   , 634.02 , -   , 652.27 , -   , 633.20 , -   , 677.60 , -   ," 5,406.50 ", -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Financial + Non Financial (A+B)," 4,403.44 "," 76,111.29 "," 6,389.66 "," 85,271.12 ", 638.87 ," 7,974.24 ", 633.18 ," 7,494.91 ", 640.68 ," 7,442.24 ", 683.01 ," 7,532.48 ", 655.53 ," 7,728.81 ", 658.22 ," 7,536.41 ", 721.02 ," 8,158.28 ", 635.45 ," 6,960.11 ", 865.70 ," 8,443.60 ", 849.93 ," 8,593.46 ", 782.76 ," 8,140.80 ", 883.74 ," 10,620.71 "," 8,648.10 "," 96,626.07 ", 875.25 ," 9,610.21 ", 883.33 ," 9,188.06 ", 882.52 ," 8,894.97 ", 914.30 ," 8,836.98 ", 971.99 ," 8,772.94 "," 1,166.97 "," 8,825.12 "," 1,127.25 "," 9,302.02 "," 1,152.57 "," 9,555.49 "," 1,181.04 "," 9,560.52 "," 1,191.76 "," 9,827.69 "," 1,185.16 "," 9,629.56 "," 1,285.07 "," 11,549.74 "," 12,817.18 "," 1,13,552.77 "," 1,327.81 "," 10,993.85 "," 1,325.45 "," 10,793.12 "," 1,399.76 "," 11,055.15 "," 1,444.52 "," 10,833.54 "," 1,531.37 "," 10,836.84 "," 1,591.43 "," 10,449.46 "," 1,762.23 "," 11,888.67 "," 1,744.90 "," 11,113.91 "," 1,888.53 "," 11,684.64 "," 1,915.87 "," 11,889.32 "," 1,908.36 "," 11,450.65 "," 2,205.92 "," 13,730.32 "," 20,045.57 "," 1,36,719.25 "," 2,227.04 "," 13,303.82 "," 2,301.60 "," 13,662.55 "," 2,350.14 "," 12,239.00 "," 2,541.31 "," 12,943.08 "," 2,510.76 "," 12,723.51 "," 2,556.18 "," 12,160.64 "," 2,814.83 "," 14,249.82 "," 2,713.03 "," 13,216.31 "," 2,898.80 "," 13,633.10 "," 3,063.95 "," 14,123.21 "," 2,953.41 "," 15,487.68 "," 2,727.37 "," 13,181.34 "," 31,658.43 "," 1,60,924.07 "," 2,554.04 "," 6,710.87 "," 2,733.87 "," 9,644.19 "," 3,012.85 "," 11,938.89 "," 3,090.96 "," 12,422.46 "," 3,343.41 "," 12,596.99 "," 3,526.80 "," 13,546.17 "," 3,839.22 "," 15,205.02 "," 3,989.00 "," 15,047.32 "," 4,167.03 "," 16,909.48 "," 4,268.15 "," 16,211.90 "," 4,053.11 "," 15,401.02 "," 4,805.57 "," 19,903.84 "," 43,383.99 "," 1,65,538.15 "," 4,455.67 "," 16,931.03 "," 4,311.83 "," 14,095.25 "," 4,722.81 "," 15,197.91 "," 5,299.39 "," 18,028.69 "," 5,819.08 "," 18,578.52 "," 5,790.13 "," 18,921.90 "," 6,576.11 "," 21,274.64 "," 6,429.82 "," 20,366.19 "," 6,952.79 "," 22,592.05 "," 50,357.63 "," 1,65,986.17 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,* NFS - ATM Cash Withdrawal - includes card+PIN transactions on micro-ATMs and does not include Card to Card Fund transfer transactions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
